model,resolved_model,reasoning,dialect,family,modality,difficulty,reasoning_subset,protocol,n,valid,correct,input_tokens,output_tokens,reasoning_tokens,cost_usd,latency_ms,accuracy,accuracy_ci_low,accuracy_ci_high,valid_rate
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,1. easy,False,reduce-infer-v1,2,2,2,318,16,0,0.000020128,1025.92,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,1. easy,False,reduce-taught-v1,2,2,2,348,16,0,0.000022528,1431.206,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,1. easy,True,reduce-infer-v1,4,4,1,628,31,0,0.000039436,21078.465,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,1. easy,True,reduce-taught-v1,4,4,1,688,31,0,0.000044236,11561.592999999999,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,1. easy,False,reduce-infer-v1,2,2,2,304,16,0,0.000019008,3266.767,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,1. easy,False,reduce-taught-v1,2,2,2,334,16,0,0.000021408,1744.64,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,1. easy,True,reduce-infer-v1,4,4,0,604,32,0,0.000037696,2190.007,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,1. easy,True,reduce-taught-v1,4,4,0,664,32,0,0.000042496,2397.296,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,embedding.center-clause-jitter-v1,embedding,text,1. easy,False,reduce-infer-v1,2,2,2,309,16,0,0.000019408,2767.496,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,embedding.center-clause-jitter-v1,embedding,text,1. easy,False,reduce-taught-v1,2,2,2,341,16,0,0.000021968,2523.179,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,embedding.center-clause-jitter-v1,embedding,text,1. easy,True,reduce-infer-v1,4,4,0,611,32,0,0.000040304,4833.109,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,embedding.center-clause-jitter-v1,embedding,text,1. easy,True,reduce-taught-v1,4,4,1,675,31,0,0.000043196,3247.4779999999996,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,embedding.center-clause-plain-v1,embedding,text,1. easy,False,reduce-infer-v1,2,2,2,309,16,0,0.000019408,1590.3519999999999,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,embedding.center-clause-plain-v1,embedding,text,1. easy,False,reduce-taught-v1,2,2,2,341,16,0,0.000021968,1159.022,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,embedding.center-clause-plain-v1,embedding,text,1. easy,True,reduce-infer-v1,4,4,1,611,31,0,0.000040124,3376.142,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,embedding.center-clause-plain-v1,embedding,text,1. easy,True,reduce-taught-v1,4,4,2,675,30,0,0.000043016,3683.1710000000003,0.5,0.15003898915214947,0.8499610108478506,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.jitter-v1,parens,text,1. easy,False,reduce-infer-v1,2,2,2,249,16,0,0.000018704,1133.188,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.jitter-v1,parens,text,1. easy,False,reduce-taught-v1,2,2,1,279,15,0,0.000016828,1013.931,0.5,0.09453120573423074,0.9054687942657693,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.jitter-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,0,493,31,0,0.000034780,5254.752999999999,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.jitter-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,1,553,31,0,0.000033436,60723.88100000001,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.noisy-mismatched-v1,parens,text,1. easy,False,reduce-infer-v1,2,2,1,262,14,0,0.000015288,2790.878,0.5,0.09453120573423074,0.9054687942657693,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.noisy-mismatched-v1,parens,text,1. easy,False,reduce-taught-v1,2,2,0,292,14,0,0.000017688,1259.313,0.0,0.0,0.6576197724933469,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.noisy-mismatched-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,0,522,31,0,0.000033004,4959.2339999999995,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.noisy-mismatched-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,2,582,30,0,0.000035576,2576.181,0.5,0.15003898915214947,0.8499610108478506,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.noisy-v1,parens,text,1. easy,False,reduce-infer-v1,2,2,2,258,15,0,0.000015148,1037.866,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.noisy-v1,parens,text,1. easy,False,reduce-taught-v1,2,2,2,288,16,0,0.000017728,1334.4429999999998,1.0,0.34238022750665303,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.noisy-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,1,509,31,0,0.000034012,2939.706,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.noisy-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,1,569,31,0,0.000034716,2222.525,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.reference-v1,parens,text,1. easy,False,reduce-infer-v1,2,2,1,244,14,0,0.000017944,3105.0960000000005,0.5,0.09453120573423074,0.9054687942657693,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.reference-v1,parens,text,1. easy,False,reduce-taught-v1,1,1,0,137,7,0,0.000008124,587.737,0.0,0.0,0.7934506856227626,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.reference-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,1,485,31,0,0.000036188,11999.266,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.reference-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,0,545,32,0,0.000032976,3748.973,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.word-brackets-mismatched-v1,parens,text,1. easy,False,reduce-infer-v1,1,1,1,133,8,0,0.000007984,661.821,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.word-brackets-mismatched-v1,parens,text,1. easy,False,reduce-taught-v1,1,1,1,150,8,0,0.000009344,965.221,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.word-brackets-mismatched-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,1,536,30,0,0.000033944,2224.675,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.word-brackets-mismatched-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,0,604,32,0,0.000037696,10480.285,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.word-brackets-plain-v1,parens,text,1. easy,False,reduce-infer-v1,1,1,1,131,7,0,0.000007644,505.037,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.word-brackets-plain-v1,parens,text,1. easy,False,reduce-taught-v1,1,1,1,148,8,0,0.000009184,724.367,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.word-brackets-plain-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,1,522,29,0,0.000032644,2588.348,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,parens.word-brackets-plain-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,0,590,31,0,0.000036396,7403.9130000000005,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.java-v1,pattern,text,1. easy,False,reduce-infer-v1,1,1,1,142,8,0,0.000008704,815.432,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.java-v1,pattern,text,1. easy,False,reduce-taught-v1,1,1,1,159,8,0,0.000010064,3232.653,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.java-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,0,568,31,0,0.000036684,3436.908,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.java-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,1,636,31,0,0.000040076,8807.779,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.lisp-v1,pattern,text,1. easy,False,reduce-infer-v1,1,1,0,135,7,0,0.000007964,417.627,0.0,0.0,0.7934506856227626,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.lisp-v1,pattern,text,1. easy,False,reduce-taught-v1,1,1,1,152,8,0,0.000009504,896.974,1.0,0.20654931437723745,1.0,1.0
